MapName,UsedInSeason
Tatterson,1
Dingley Village,1
Kingston Heath2,1
Tirhatuan Park,1
Clarinda,1
Mulgrave,1
Rowville Lakes,1
Glen Eira East,1
Waterford Valley,1
Academy Hill,1
The Glen,1
Glenfern Run,1
Wantirna South,1
Valley Reserve,1
Glenhuntly Gallop,1
Gardiners Bend,1
Camelot Rise,1
Blind Creek,1
Tally Ho,1
Waverley Woods,1
Ashwood North,1
Cavills Corner,1
Glen Iris,1
Williamstown Beach,1
Truganina,1
Bellbird Dell,1
Blackburn South,1
Smiths Dell,1
Altona Gate,1
(Unnamed map),1
Dandenong Creek,1
Colchester,1
Deep Dene,1
Seddon,1
Mullauna,1
Belmore Parklands,1
Edgewater,1
Ascot Vale,1
High Point,1
Middle Mullum,1
Mt Eagle,1
Aberfeldie Maribyrnong,1
Tea Gardens,1
Templestowe Heights,1
Essendon,1
Birralee,1
Koonung Heights,1
Seaholme,1
Altona Beach,1
Koonung Crossing,1
Yarran Dheran,1
Doncaster Heights,1
Moonee Ponds,1
Burnside Heights,1
Boeing Reserve,1
Coomoora,2
Kangaroo Very Flat,2
Nortons Park,2
Knoxfield,2
Mitchelhill,2
Wattle View,2
Cathies Creek,2
Altona Meadows,2
Paisley Park,2
Whitten Oval,2
Royal Park,2
Fairbairn Park,2
The Strand,2
Newport Lakes,2
Wheelers Hill,3
Strathmore,3
